07/18/2011 09:00:24 AM 17 mph NE,-76.298648,37.00424,8.9
07/18/2011 09:00:32 AM 17 mph NE,-76.298238,37.004603,8.7
07/18/2011 09:00:40 AM 16 mph NE,-76.29788,37.00499,8.4
07/18/2011 09:00:48 AM 5 mph NE,-76.297718,37.005167,8.5
07/18/2011 09:00:56 AM 3 mph NE,-76.297618,37.005253,9
07/18/2011 09:01:00 AM 2 mph NE,-76.297553,37.005302,9.1
07/18/2011 09:01:20 AM 1 mph NE,-76.29751,37.005337,8.8
07/18/2011 09:01:40 AM 0 mph NE,-76.297482,37.005398,9.4
07/18/2011 09:02:00 AM 1 mph SW,-76.297597,37.00528,10.3
07/18/2011 09:02:20 AM 1 mph S,-76.297608,37.00525,10.3
07/18/2011 09:02:40 AM 1 mph S,-76.297623,37.00518,10.2
07/18/2011 09:03:00 AM 1 mph S,-76.297648,37.005083,9.7
07/18/2011 09:03:20 AM 1 mph S,-76.297667,37.00499,9.5
07/18/2011 09:03:40 AM 1 mph S,-76.29768,37.004877,8.5
07/18/2011 09:04:00 AM 1 mph S,-76.297695,37.004782,7.9
07/18/2011 09:04:20 AM 2 mph S,-76.297705,37.00472,7.3
07/18/2011 09:04:40 AM 1 mph S,-76.297707,37.004668,7.1
07/18/2011 09:05:00 AM 1 mph S,-76.297735,37.004557,6.3
07/18/2011 09:05:30 AM 1 mph S,-76.297765,37.004435,7.2
07/18/2011 09:06:00 AM 1 mph S,-76.297765,37.00434,7.7
07/18/2011 09:06:15 AM 1 mph S,-76.297775,37.00424,8.7
07/18/2011 09:06:30 AM 1 mph S,-76.297787,37.004132,9
07/18/2011 09:06:45 AM 1 mph S,-76.297798,37.004062,9
07/18/2011 09:07:00 AM 1 mph S,-76.297802,37.004025,9
07/18/2011 09:07:20 AM 1 mph S,-76.297808,37.003918,8.9
07/18/2011 09:07:40 AM 1 mph S,-76.297815,37.003825,10
07/18/2011 09:08:00 AM 1 mph S,-76.297807,37.003712,11.3
07/18/2011 09:08:20 AM 1 mph S,-76.297805,37.003595,11.7
07/18/2011 09:08:40 AM 1 mph S,-76.297812,37.003485,11.3
07/18/2011 09:09:00 AM 1 mph S,-76.297815,37.003375,10.9
07/18/2011 09:09:20 AM 1 mph S,-76.29781,37.003263,10.9
07/18/2011 09:09:40 AM 1 mph S,-76.297812,37.003148,10.4
07/18/2011 09:10:00 AM 1 mph S,-76.29782,37.003042,10.7
07/18/2011 09:10:10 AM 5 mph NW,-76.297942,37.003033,10.8
07/18/2011 09:10:20 AM 6 mph NW,-76.298128,37.003105,10.8
07/18/2011 09:10:30 AM 6 mph NW,-76.298308,37.003192,10.4
07/18/2011 09:10:40 AM 6 mph NW,-76.298485,37.00329,9.6
07/18/2011 09:10:50 AM 4 mph NW,-76.298618,37.003362,9.1
07/18/2011 09:11:00 AM 3 mph NW,-76.29873,37.003403,9.1
07/18/2011 09:11:12 AM 3 mph W,-76.298828,37.003418,8.7
07/18/2011 09:11:24 AM 2 mph W,-76.298977,37.00341,8.2
07/18/2011 09:11:36 AM 1 mph SW,-76.299087,37.003368,8.7
07/18/2011 09:11:48 AM 2 mph SW,-76.2992,37.00331,9.1
07/18/2011 09:12:00 AM 5 mph W,-76.29945,37.003232,8.8
07/18/2011 09:12:09 AM 5 mph W,-76.299643,37.003245,8.5
07/18/2011 09:12:18 AM 5 mph N,-76.299757,37.00336,8.5
07/18/2011 09:12:27 AM 5 mph NE,-76.299735,37.003467,9.1
07/18/2011 09:12:36 AM 6 mph NE,-76.29965,37.003617,9.5
07/18/2011 09:12:45 AM 5 mph NE,-76.299545,37.003757,9.8
07/18/2011 09:14:00 AM 3 mph NW,-76.2995,37.003963,12.6
07/18/2011 09:14:20 AM 4 mph N,-76.299483,37.004057,12.8
07/18/2011 09:14:40 AM 2 mph NE,-76.29937,37.004198,12.2
07/18/2011 09:15:00 AM 0 mph E,-76.299275,37.004217,7.4
07/18/2011 09:16:00 AM 1 mph SW,-76.299328,37.004093,4.7
07/18/2011 09:16:15 AM 1 mph SW,-76.299375,37.004053,5.9
07/18/2011 09:16:30 AM 1 mph SW,-76.299422,37.003988,6.9
07/18/2011 09:16:45 AM 1 mph NW,-76.299483,37.00402,7.8
07/18/2011 09:18:00 AM 1 mph SW,-76.299575,37.00389,7.8
07/18/2011 09:18:10 AM 1 mph SW,-76.299598,37.003873,8.8
07/18/2011 09:18:20 AM 5 mph N,-76.299655,37.004053,10.2
07/18/2011 09:18:30 AM 5 mph NE,-76.299615,37.004177,9.6
07/18/2011 09:18:40 AM 4 mph NE,-76.299383,37.004318,8.8
07/18/2011 09:18:50 AM 4 mph NE,-76.299268,37.004388,8.6
07/18/2011 09:19:00 AM 4 mph NE,-76.299185,37.00448,8.7
07/18/2011 09:19:08 AM 4 mph NE,-76.299097,37.004578,9.4
07/18/2011 09:19:16 AM 4 mph E,-76.298957,37.004613,10.1
07/18/2011 09:19:24 AM 5 mph SE,-76.29882,37.00456,10.5
07/18/2011 09:19:32 AM 5 mph S,-76.29873,37.004432,10.9
07/18/2011 09:19:40 AM 4 mph S,-76.298733,37.004312,11.4
07/18/2011 09:19:48 AM 3 mph S,-76.298767,37.004217,11.5
07/18/2011 09:19:56 AM 2 mph S,-76.298837,37.004095,10.9
07/18/2011 09:20:00 AM 2 mph SW,-76.298898,37.003992,9.4
07/18/2011 09:20:12 AM 2 mph SW,-76.298938,37.003935,9
07/18/2011 09:20:24 AM 2 mph SW,-76.298977,37.003882,9
07/18/2011 09:20:36 AM 2 mph SW,-76.299038,37.003795,8.3
07/18/2011 09:20:48 AM 1 mph SW,-76.299063,37.003767,8.3
07/18/2011 09:21:00 AM 4 mph SW,-76.299108,37.003665,9.3
07/18/2011 09:21:10 AM 8 mph SW,-76.2992,37.003535,9.6
07/18/2011 09:21:20 AM 6 mph SW,-76.299355,37.003397,9.6
07/18/2011 09:21:30 AM 4 mph SW,-76.299488,37.003295,9.4
07/18/2011 09:21:40 AM 3 mph SW,-76.299652,37.00317,10.6
07/18/2011 09:21:50 AM 2 mph W,-76.299815,37.00312,10.9
07/18/2011 09:22:00 AM 4 mph N,-76.299895,37.003272,12.4
07/18/2011 09:22:09 AM 4 mph N,-76.299875,37.003382,12.3
07/18/2011 09:22:18 AM 4 mph N,-76.299847,37.003495,11.8
07/18/2011 09:22:27 AM 4 mph NE,-76.299797,37.003605,11.2
07/18/2011 09:22:36 AM 4 mph NE,-76.299723,37.003708,10.5
07/18/2011 09:22:45 AM 2 mph NE,-76.299668,37.003783,10
07/18/2011 09:22:54 AM 2 mph NE,-76.299637,37.00383,9.6
07/18/2011 09:23:00 AM 10 mph NE,-76.299563,37.004012,8.7
07/18/2011 09:23:15 AM 11 mph NE,-76.29933,37.004265,8.5
07/18/2011 09:23:30 AM 11 mph NE,-76.299075,37.004508,8.4
07/18/2011 09:23:45 AM 11 mph NE,-76.298805,37.004745,8.4
07/18/2011 09:24:00 AM 11 mph NE,-76.298518,37.004968,8.2
07/18/2011 09:24:10 AM 11 mph NE,-76.298228,37.005183,7.8
07/18/2011 09:24:20 AM 11 mph NE,-76.297928,37.005383,7.6
07/18/2011 09:24:30 AM 5 mph NE,-76.297727,37.005522,7.3
07/18/2011 09:24:40 AM 1 mph N,-76.29767,37.005653,7.3
07/18/2011 09:24:50 AM 9 mph NW,-76.297952,37.005872,10.4
07/18/2011 09:25:00 AM 13 mph N,-76.298112,37.006162,11.6
07/18/2011 09:25:08 AM 17 mph NE,-76.298028,37.006582,15.6
07/18/2011 09:25:16 AM 23 mph E,-76.29743,37.006877,17.6
07/18/2011 09:25:24 AM 24 mph E,-76.296598,37.006877,17.9
07/18/2011 09:25:32 AM 23 mph E,-76.295802,37.006712,17.4
07/18/2011 09:25:40 AM 23 mph SE,-76.295052,37.00644,15.9
07/18/2011 09:25:48 AM 7 mph SE,-76.294607,37.00622,14.5
07/18/2011 09:25:56 AM 6 mph SE,-76.294425,37.0061,13.4
07/18/2011 09:26:00 AM 4 mph SE,-76.2943,37.005997,12.3
07/18/2011 09:26:07 AM 4 mph SE,-76.294205,37.005905,11.8
